StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q1,Q2,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q10_1,Q11_1,Q12_1,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17_1,Q17_2,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19_1,Q19_2,Q19_5,Q19_3,Q19_4,Q20_1,Q20_2,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_7,Q21_6,Q21_8,Q21_9,Q22_1,Q22_3,Q22_14,Q22_6,Q22_7,Q22_19,Q22_20,Q22_22,Q22_8,Q22_15,Q22_25,Q22_16,Q22_DO_1,Q22_DO_3,Q22_DO_14,Q22_DO_6,Q22_DO_7,Q22_DO_19,Q22_DO_20,Q22_DO_22,Q22_DO_8,Q22_DO_15,Q22_DO_25,Q22_DO_16,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q25,Q26,Q27,Q28,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39_1,Q39_2,Q39_3,Q40_1,Q41,Q42,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q44_1,Q44_2,Q44_3,Q44_4,Q45_1,Q46_1,Q47,Q47_14_TEXT,Q48,Q49,Q50,Q51,Q53,Q54_1,Q54_2,Q54_3,Q54_4,Q55,Q55_6_TEXT,Q56_1,Q56_4,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q58,Q59,Q60,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,Q61_7,Q61_7_TEXT,Q61_DO_1,Q61_DO_2,Q61_DO_3,Q61_DO_4,Q61_DO_5,Q61_DO_6,Q61_DO_7,Q62,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,Q64,Q64_DO_1,Q64_DO_2,Q64_DO_3,Q64_DO_4,Q64_DO_5,Q64_DO_6,Q65,FL_50_DO_SocialMedia,FL_50_DO_Time,FL_49_DO_LACMovation_Control,FL_49_DO_LACMotivations_Business,FL_49_DO_LACMotivations_Fulfillment,TheCovids_DO_Q12,TheCovids_DO_Q10,TheCovids_DO_Q11,TwoStateSolution_DO_Q41,TwoStateSolution_DO_Q42
3/16/2021 14:05,3/16/2021 14:23,100,1077,1,3/16/2021 14:23,1,1,8,2,1,1,,,,,,,,,,,50,,1,1,1,1,,,,1,1,1,2,2,1,1,4,3,2,5,2,3,3,1,10,2,3,2,2,3,5,1,,,,1,1,,7,1,7,,10,20,5,,2,1,10,2,10,0,,100,0,100,0,80,0,20,80,49,0,0,50,6,10,7,8,5,11,12,1,3,9,4,2,2,1,,,,,,,,,1,,,3,1,2,1,,,2,2,4,5,2,5,1,1,1,50,,4,,,,,1,,,,,,1,2,2,10,2,3.4,75,2,,2,5,1,4,1,1,,,,1,,74,46,1,,,,,5,3,2,,,,,,,1,Populist (Trump Republican) ,6,3,5,4,1,2,7,1,1,,1,1,,,1,1,5,3,2,4,6,1,1,2,1,,,2,,1,,1
3/16/2021 14:04,3/16/2021 14:23,100,1134,1,3/16/2021 14:23,1,1,4,1,2,5,,,,,,,,,,81,,2,1,1,1,1,,1,,1,,1,2,1,3,2,4,3,5,5,2,4,2,1,6,0,5,3,4,3,5,,1,,,1,1,7,,7,2,0,80,50,10,6,3,8,1,1,10,0,,0,68,64,69,100,100,100,50,43,100,45,,7,6,10,3,12,9,11,2,5,4,8,1,3,,,,1,,,1,,1,1,,,2,2,2,,1,,2,2,2,5,3,4,3,2,1,52,3,,1,,,1,,,,,,,,10,10,5,10,3.8,100,1,,1,4,3,5,1,1,,,,1,,73,18,1,,,,,3,2,2,1,1,1,,,,,,4,2,1,5,6,3,7,3,1,,,,,,6,2,5,3,1,6,4,1,1,2,,1,,2,1,,1,
3/16/2021 14:12,3/16/2021 14:23,100,661,1,3/16/2021 14:24,1,3,2,1,2,2,4,4,2,,,,,,,80,,1,1,1,1,1,,1,1,1,,1,2,3,3,3,4,3,3,4,1,5,3,2,6,,2,3,1,4,5,1,1,1,1,1,1,6,4,3,2,,79,47,10,6,1,2,3,3,9,1,2,,80,75,64,89,78,89,79,43,85,50,67,10,11,7,8,9,12,5,3,4,1,2,6,3,1,1,1,1,,,1,1,1,1,1,,3,3,2,,2,,2,2,3,5,3,4,4,3,2,62,,3,1,,,1,,1,1,,,,1,8,10,10,4,3.4,51,11,,2,3,1,2,2,,1,,,1,,41,82,1,,,,,3,4,2,,1,,,,,,,5,2,1,6,4,3,7,3,1,1,,,,,6,1,6,3,2,4,5,2,2,1,,1,,2,1,,,1
3/16/2021 14:05,3/16/2021 14:24,100,1154,1,3/16/2021 14:24,1,1,1,1,2,5,5,5,1,,,,,,,90,,0,,,1,1,,1,,1,,1,2,4,1,1,4,5,5,5,1,3,2,0,7,1,3,3,1,4,6,,1,1,,1,1,4,5,5,7,0,60,50,4,7,0,8,10,0,5,0,0,1,100,51,100,100,100,50,40,0,45,100,100,9,7,2,1,5,12,3,8,4,11,6,10,4,,,,,,,1,,,1,,,2,2,4,1,,,2,1,1,5,3,5,1,1,1,20,3,,,,,1,1,1,,1,,,1,5,2,5,3,3.6,91,13,,2,3,1,1,1,1,,,,1,,82,19,1,,,,,4,4,2,,1,,,,,,,2,5,6,1,4,3,7,2,1,,,,1,,3,4,6,1,3,2,5,3,2,1,1,,,2,1,,1,
3/16/2021 14:03,3/16/2021 14:25,100,1283,1,3/16/2021 14:25,1,3,4,1,1,3,,,,,,,,,,,100,0,1,,1,1,,1,,1,,1,2,1,5,5,4,3,2,3,3,3,,1,6,0,3,2,2,3,3,,,,,,,3,1,,7,,,7,,,,,,,,,,50,50,50,0,100,90,0,48,0,0,90,0,3,9,2,1,7,5,8,12,4,6,11,10,,,,,,,,,,,1,1,,3,3,2,,1,,3,3,3,4,2,4,3,3,3,49,1,,,,,,1,,,,1,,,,,,,2.7,100,6,,2,1,5,6,1,1,,,,1,,,,1,,,,1,3,4,2,,,1,,,,,,3,1,5,4,6,2,7,4,,,,1,,,6,5,3,4,1,6,2,2,2,1,,1,,2,,1,1,
3/16/2021 14:13,3/16/2021 14:26,100,775,1,3/16/2021 14:27,1,2,2,2,2,,4,5,2,,,,,,,86,,6,1,1,,1,,1,1,1,,1,1,4,4,4,4,3,4,4,2,2,1,0,8,0,7,5,3,3,4,1,1,1,,1,,2,3,1,,3,67,63,7,8,2,10,4,3,3,7,2,11,69,41,69,73,88,41,62,26,62,82,50,3,7,1,6,11,10,5,12,9,4,8,2,1,,,,,,,,,,1,,,2,2,2,1,,,2,3,2,2,4,2,2,1,1,41,,,,,,1,,,1,,,,,6,6,,4,3.8,81,12,,2,4,2,4,2,,1,,,3,,41,74,1,,,,,4,4,2,,1,,,,,,,5,2,3,6,1,4,7,1,1,,,,,,6,1,5,4,6,2,3,2,2,1,1,,,2,1,,,1
3/16/2021 14:14,3/16/2021 14:27,100,769,1,3/16/2021 14:27,1,3,8,2,2,5,,,,,,,,,,,85,,,1,1,1,,,,,1,1,2,2,4,2,4,4,4,5,2,3,4,1,8,1,3,2,2,3,3,,,,,1,,6,7,,7,0,26,85,4,10,10,10,8,8,10,2,4,4,25,9,22,5,100,5,4,4,10,32,48,6,5,11,8,9,3,7,12,4,2,10,1,1,,,,,,,,,,1,,,2,1,2,,1,,1,1,2,4,2,5,1,1,1,25,,1,,,,1,,,,,,,1,6,3,1,6,3.8,100,2,,2,1,1,1,2,,1,,,,,42,57,1,,,,,,4,2,1,,,,,,,,2,4,3,6,5,1,7,1,,1,,,,,6,6,4,5,1,2,3,2,2,1,,1,,2,,1,,1
3/16/2021 14:15,3/16/2021 14:27,100,742,1,3/16/2021 14:28,1,3,3,2,2,1,4,4,2,,,,,,,95,,0,,1,1,1,,1,1,1,,1,2,4,5,5,4,3,2,2,2,9,1,0,6,,2,2,1,3,6,1,1,1,,1,1,4,,1,,,10,85,7,10,3,3,4,,1,2,2,0,46,50,75,70,80,45,65,15,50,65,50,1,12,2,7,10,6,9,11,3,8,4,5,3,1,,1,,,,,1,,1,,,2,2,3,,,2,3,3,3,4,1,1,1,1,1,40,3,,,,,1,1,,1,,,1,1,2,7,10,4,3.9,60,12,,2,1,1,1,2,,1,,,1,,3,82,1,,,,,2,3,2,,,1,,,,,,3,4,2,5,1,6,7,4,,1,,,,,6,6,1,4,3,2,5,2,2,1,,,1,2,1,,1,
3/16/2021 14:03,3/16/2021 14:27,100,1454,1,3/16/2021 14:28,1,3,3,2,2,4,5,4,1,,,,,,,95,,1,,,,1,,1,,,1,,2,1,2,2,3,2,4,1,1,3,2,1,8,2,1,1,0,4,4,1,1,1,,1,,4,1,6,0,4,80,60,6,8,8,9,5,0,9,0,0,20,50,40,60,60,80,40,50,40,50,50,50,5,12,9,8,7,2,4,11,3,10,1,6,2,1,,,,,,,1,1,,,,3,3,3,,,2,3,3,3,3,3,3,2,2,2,40,,3,,,,1,,,,,,,1,2,4,1,8,3.5,90,13,,2,2,1,5,1,1,,,,1,,40,51,,,1,,,1,2,1,,1,,,,,,,4,2,3,5,1,6,7,3,,,1,,,,1,4,3,1,6,5,2,2,1,2,,,1,2,1,,,1
3/16/2021 14:12,3/16/2021 14:28,100,954,1,3/16/2021 14:29,1,2,3,1,2,5,3,4,1,,,,,,,,95,0,1,,1,1,,1,,1,,1,2,4,3,4,4,3,4,4,1,5,2,1,8,,4,1,2,2,5,,1,,,1,1,5,2,3,4,1,24,66,8,3,3,6,6,4,6,2,3,7,45,65,60,81,60,25,74,39,78,73,80,8,10,11,1,5,12,3,9,4,7,2,6,1,,,,,,,,,,,,1,2,1,2,,2,,2,2,2,5,2,4,3,2,2,40,2,,1,,,1,,,,,,,,10,10,7,3,3.3,90,13,,2,4,1,2,1,1,,,,1,,90,9,1,,,,,4,3,2,,1,,,,1,,,2,5,3,4,6,1,7,3,,1,,,,,2,5,6,1,4,3,2,2,2,1,,1,,2,,1,1,
3/16/2021 14:10,3/16/2021 14:28,100,1075,1,3/16/2021 14:29,1,3,4,1,2,5,,,,,,,,,,,90,2,,,,1,,,,1,,1,4,1,5,5,4,5,5,1,1,4,2,1,8,1,2,2,0,2,3,,1,1,1,1,1,4,7,3,0,6,10,16,6,6,2,0,2,0,0,0,0,7,50,50,32,95,61,32,63,32,32,63,50,9,11,4,6,1,12,8,7,2,3,5,10,1,,,,,,,,,,,,1,2,2,4,2,,,2,3,3,4,3,5,3,3,3,80,3,,,,,1,1,,1,,1,,,4,6,10,2,3.5,93,14,Christian. We're all the same,2,1,6,7,1,1,,,,1,,0,0,1,,,,,4,4,2,,,,,,,1,"I agree and disagree with all of these about something. Except alt-right, they're just stupid",6,2,3,4,1,5,7,2,,1,1,,1,,2,6,4,3,1,5,2,2,1,2,1,,,2,,1,1,
3/16/2021 14:16,3/16/2021 14:30,100,848,1,3/16/2021 14:31,1,1,5,2,2,4,,,,,,,,,,,50,3,,1,,1,,,,1,,1,2,4,2,2,4,4,4,5,1,3,6,1,7,2,2,1,2,4,5,,1,,,1,1,6,3,5,7,3,50,80,6,2,5,5,3,1,5,0,0,35,30,50,50,80,50,40,59,50,75,60,80,11,8,9,2,1,3,6,12,7,4,5,10,3,1,1,,1,,,1,1,1,1,,,2,2,3,2,,,2,2,2,4,3,3,4,2,1,60,2,,1,,,1,,,1,,,,1,10,7,10,8,3.2,80,2,,2,2,2,5,1,1,,,,1,,89,6,1,,,,,5,3,2,,,1,,,,,,1,6,4,3,5,2,7,3,1,,1,,,,2,5,2,6,3,4,1,1,2,1,1,,,2,,1,1,
3/16/2021 14:22,3/16/2021 14:30,100,518,1,3/16/2021 14:31,1,2,1,2,2,5,5,5,1,,,,,,,,85,4,1,1,,1,,1,1,1,,1,2,4,3,2,4,3,3,4,2,3,3,0,8,0,3,3,3,3,4,1,1,,,1,,1,0,3,1,0,100,70,10,8,10,9,3,7,9,9,0,0,80,30,90,90,100,70,70,0,20,50,80,2,1,4,10,12,5,11,3,8,9,7,6,3,1,,,,,,,1,,1,,,3,2,2,2,,,2,2,2,5,4,3,2,1,1,50,,3,,,,,,1,,1,,,,10,4,5,4,3.5,70,13,,2,5,1,1,2,,1,,,1,,20,83,1,1,,,,5,4,2,,1,,,,,,,2,3,4,1,5,6,7,1,,1,,,,,6,4,3,2,1,6,5,2,1,2,1,,,2,,1,,1
3/16/2021 14:15,3/16/2021 14:34,100,1157,1,3/16/2021 14:34,1,3,8,1,2,3,,,,,,,,,,97,,0,1,1,,1,,,,,1,,2,5,3,2,4,4,5,5,1,3,1,1,10,,2,2,3,4,5,1,,,,,1,2,2,2,4,1,62,90,2,5,3,8,3,1,2,3,7,9,23,25,13,51,78,6,41,10,37,61,70,7,6,8,12,11,3,9,1,4,5,10,2,1,,,,,,,,,,,,1,3,1,4,,2,,2,3,2,2,2,5,1,1,1,64,5,,,,,1,,,,,,,1,0,0,4,1,3.9,90,6,,2,4,1,3,1,1,,,,3,,99,0,1,,,,,2,3,2,1,,,,,,,,3,6,2,5,1,4,7,4,,1,,,,,6,2,1,5,6,3,4,1,1,2,,1,,2,1,,1,
3/16/2021 14:21,3/16/2021 14:34,100,808,1,3/16/2021 14:35,1,2,3,1,2,4,4,4,1,,,,,,,100,,0,1,1,1,1,,,1,1,1,1,3,1,3,3,4,3,1,1,4,6,4,3,5,0,2,5,5,4,5,1,1,1,1,1,1,2,0,1,0,0,73,78,6,2,2,7,8,5,0,,3,45,87,71,81,85,100,,85,66,50,100,74,7,4,9,3,2,12,11,1,8,5,6,10,5,,,1,1,1,1,,,,1,,,1,1,1,1,,,3,1,3,4,1,4,2,4,2,84,,3,,1,,1,,,1,,,1,1,3,5,8,2,3.1,76,8,,2,3,1,3,1,1,,,,1,,100,,,,,1,,3,4,2,,1,,,,,,,5,1,3,2,6,4,7,4,,1,,,1,,2,2,3,1,4,6,5,1,1,2,1,,,2,1,,,1
3/16/2021 14:22,3/16/2021 14:36,100,852,1,3/16/2021 14:36,1,2,1,2,2,5,3,4,2,,,,,,,80,,0,1,1,1,1,,1,,1,,,1,5,3,2,4,3,4,5,2,4,0,2,8,0,0,4,4,3,3,1,1,,,1,1,6,0,3,7,0,100,80,5,6,6,10,10,10,2,1,1,0,33,50,50,100,100,40,50,22,50,19,49,1,11,6,12,5,3,2,10,8,4,9,7,7,,,1,1,,1,,1,1,1,,,3,3,3,,,2,2,2,2,2,2,2,3,1,1,40,,1,1,,,,,,,,,,,3,10,10,5,3.8,100,12,,2,4,2,1,1,1,,,,1,,91,9,1,,,,,3,3,2,1,,,,,,,,3,4,2,1,5,6,7,4,1,,,,,,6,5,3,1,4,6,2,2,2,1,,,1,2,1,,,1
3/16/2021 14:28,3/16/2021 14:36,100,476,1,3/16/2021 14:36,1,2,3,1,2,5,4,4,2,,,,,,,90,,0,1,1,,1,,,,1,,1,2,2,3,4,4,2,3,1,2,3,6,1,8,2,1,1,1,1,3,,,1,,1,1,6,7,1,7,4,85,60,10,1,0,5,1,0,6,0,0,10,70,80,50,90,30,0,85,30,0,60,100,8,9,12,11,6,1,2,5,7,10,3,4,1,,1,,,,,,,,1,,,2,2,4,,,1,2,2,2,4,1,1,4,2,3,80,,4,1,,,1,,,,,,,1,10,5,10,3,3.6,95,1,,2,4,2,5,1,1,,,,1,,71,32,1,,,,,4,4,2,,1,,,,,,,6,1,2,4,5,3,7,1,,1,,,,,2,2,3,4,6,5,1,1,2,1,,,1,2,1,,,1
3/16/2021 14:18,3/16/2021 14:36,100,1076,1,3/16/2021 14:37,1,4,2,1,2,4,5,5,1,,,,,,,95,,2,1,,,1,,1,,1,,,1,4,4,2,4,2,3,2,1,2,5,1,6,0,3,2,2,4,6,1,1,,1,1,1,1,1,6,1,0,96,89,9,3,1,8,3,1,4,1,5,4,51,81,84,100,97,94,89,52,84,77,50,4,6,1,9,3,7,10,12,2,5,11,8,2,,,1,,,1,,1,,,,,1,1,3,,,2,3,2,3,4,3,2,2,1,1,71,2,,,,,1,,1,,1,,,,4,3,3,5,3.7,98,12,,2,2,1,3,2,,1,,,1,,6,97,1,,,,,4,4,2,1,1,,,,,,,5,1,3,2,6,4,7,4,,1,,,,,1,5,2,1,4,6,3,2,2,1,,,1,2,1,,1,
